full_name,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,min_per_goal_overall,cards_per_90_overall,min_per_match,min_per_assist_overall,rank_in_league_top_attackers,target_attribute
Mason Holgate,25,407,5,0,0,0,0,1,0,0,0,0,0,0.22,81,0,414,0
Matěj Vydra,30,311,13,1,1,0,0,1,0,0.58,0.29,0.29,311,0.29,24,311,66,0
Mateo Kovačić,28,1743,32,0,2,0,0,3,0,0.1,0.1,0,0,0.15,54,872,291,0
Mathew Ryan,30,3060,34,0,0,0,0,2,0,0,0,0,0,0.06,90,0,398,0
Mathias Jattah-Njie Jørgensen,32,2148,24,1,1,0,0,6,0,0.17,0.04,0.13,716,0.25,90,2148,129,2
Matt Butcher,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Matt Doherty,30,3147,38,1,5,0,0,5,0,0.26,0.14,0.11,787,0.14,83,629,155,2
Matt Ritchie,33,2940,36,1,8,1,1,9,0,0.31,0.24,0.06,1470,0.28,82,368,216,1
Matt Targett,26,1185,16,1,3,0,0,2,0,0.3,0.23,0.08,1185,0.15,74,395,183,0
Matteo Darmian,32,443,6,0,0,0,0,0,0,0,0,0,0,0,74,0,411,0
Mattéo Guendouzi Olié,23,2143,33,0,0,0,0,9,0,0,0,0,0,0.38,65,0,386,0
Matthew Connolly,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Matthew Lowton,33,1748,21,0,0,0,0,7,0,0,0,0,0,0.36,83,0,378,0
Matty Daly,21,73,2,0,0,0,0,0,0,0,0,0,0,0,37,0,-1,0
Max Harrison Sanders,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Max Kilman,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Max Meyer,26,1414,29,0,2,0,0,3,0,0.19,0.13,0.06,1414,0.19,49,707,209,1
Maxime Le Marchand,32,2251,26,0,1,0,0,5,0,0.04,0.04,0,0,0.2,87,2251,314,0
Maya Yoshida,34,1520,17,0,1,0,0,0,0,0.06,0.06,0,0,0,89,1520,308,0
Mesut Özil,33,1741,24,4,2,0,0,2,0,0.36,0.1,0.26,348,0.1,73,871,73,2
Michael Keane,29,2970,33,0,2,0,0,2,0,0.09,0.06,0.03,2970,0.06,90,1485,251,1
Michael Obafemi,22,134,6,0,1,0,0,1,0,1.34,0.67,0.67,134,0.67,22,134,-1,0
Michail Antonio,32,2099,33,4,4,0,0,3,0,0.43,0.17,0.26,350,0.13,64,525,77,2
Michel Vorm,38,180,2,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Michy Batshuayi,28,756,11,2,0,0,0,0,0,0.6,0,0.6,151,0,69,0,8,2
Miguel Ángel Almirón Rejala,28,763,10,0,0,0,0,0,0,0,0,0,0,0,76,0,282,0
Miguel Ángel Britos Cabrera,37,185,3,0,0,0,0,0,0,0,0,0,0,0,62,0,-1,0
Mohamed Diamé,35,2165,29,0,0,0,0,3,0,0,0,0,0,0.12,75,0,348,0
Mohamed Elneny,30,381,8,0,0,0,0,0,0,0,0,0,0,0,48,0,388,0
Mohamed Elyounoussi,28,790,16,0,0,0,0,0,0,0,0,0,0,0,49,0,375,0
Mohamed Salah,30,3262,38,13,8,3,0,1,0,0.83,0.22,0.61,148,0.03,86,408,7,2
Morgan Gibbs-White,22,647,26,0,1,0,0,1,0,0.14,0.14,0,0,0.14,25,647,408,0
Morgan Schneiderlin,32,833,14,0,1,0,0,2,0,0.11,0.11,0,0,0.22,60,833,412,0
Moussa Dembele,35,516,10,0,0,0,0,1,0,0,0,0,0,0.17,52,0,355,0
Moussa Sissoko,33,2336,29,0,3,0,0,2,0,0.12,0.12,0,0,0.08,81,779,354,0
N'Golo Kanté,31,3096,36,2,4,0,0,3,0,0.23,0.12,0.12,774,0.09,86,774,141,1
Naby Deco Keïta,27,1392,25,1,1,0,0,0,0,0.19,0.06,0.13,696,0,56,1392,138,1
Nacho Monreal,36,1861,22,1,3,0,0,5,0,0.19,0.15,0.05,1861,0.24,85,620,222,0
Nampalys Mendy,30,2088,31,0,0,0,0,5,0,0,0,0,0,0.22,67,0,271,0
Nathan Aké,27,3412,38,3,0,0,0,3,0,0.11,0,0.11,853,0.08,90,0,150,2
Nathan Holland,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Nathan Redmond,28,3276,38,4,4,0,0,3,0,0.27,0.11,0.16,546,0.08,86,819,116,2
Nathaniel Chalobah,27,266,9,0,0,0,0,2,0,0,0,0,0,0.68,30,0,-1,0
Nathaniel Clyne,31,1254,18,0,1,0,0,2,0,0.07,0.07,0,0,0.14,70,1254,392,0
Nathaniel Mendez-Laing,30,984,20,0,1,1,0,0,0,0.46,0.09,0.37,246,0,49,984,46,2
Neeskens Kebano,30,103,7,0,0,0,0,0,0,0,0,0,0,0,15,0,-1,0
Neil Leonard Dula Etheridge,32,3420,38,0,0,0,0,2,0,0,0,0,0,0.05,90,0,363,0
Nemanja Matić,34,2441,28,1,0,0,0,8,1,0.04,0,0.04,2441,0.29,87,0,239,0
Nicolas Otamendi,34,1233,18,0,0,0,0,1,0,0,0,0,0,0.07,69,0,273,0
Nikola Tavares,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Nnamdi Ofoborh,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Oleksandr Zinchenko,25,1153,14,0,3,0,0,1,0,0.23,0.23,0,0,0.08,82,384,284,0
Oliver Skipp,22,216,8,0,0,0,0,0,0,0,0,0,0,0,27,0,-1,0
Olivier Giroud,35,832,27,1,4,0,0,1,0,0.65,0.43,0.22,416,0.11,31,208,86,0
Onyinye Wilfred Ndidi,25,3299,38,2,0,0,0,8,0,0.05,0,0.05,1650,0.22,87,0,218,1
Oriol Romeu,30,2140,31,1,0,0,0,11,0,0.04,0,0.04,2140,0.46,69,0,244,1
Oumar Niasse,32,998,18,0,0,0,0,0,0,0,0,0,0,0,55,0,415,0
Pablo Zabaleta,37,2092,26,0,1,0,0,4,0,0.04,0.04,0,0,0.17,80,2092,370,0
Pape N'Diaye Souaré,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Pascal Groß,31,1878,25,2,3,1,1,1,0,0.29,0.14,0.14,626,0.05,75,626,126,2
Patrick van Aanholt,32,3198,36,2,2,0,0,3,0,0.14,0.06,0.08,1066,0.08,89,1599,184,1
Paul Dummett,30,1986,26,0,0,0,0,1,0,0,0,0,0,0.05,76,0,347,0
Paul Pogba,29,3011,35,10,9,7,3,6,0,0.66,0.27,0.39,232,0.18,86,335,37,2
Paulo Dino Gazzaniga,30,270,3,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Pedro Obiang,30,1121,24,0,1,0,0,0,0,0.08,0.08,0,0,0,47,1121,371,0
Pedro Rodriguez,35,1780,31,6,2,0,0,2,0,0.51,0.1,0.4,223,0.1,57,890,35,2
Peter Crouch,41,86,6,0,0,0,0,1,0,0,0,0,0,1.05,14,0,-1,0
Petr Čech,40,585,7,0,0,0,0,0,0,0,0,0,0,0,84,0,384,0
Phil Bardsley,37,1672,19,0,0,0,0,9,0,0,0,0,0,0.48,88,0,383,0
Phil Jagielka,40,329,7,1,0,0,0,1,1,0.27,0,0.27,329,0.55,47,0,71,0
Phil Jones,30,1263,18,0,1,0,0,1,0,0.07,0.07,0,0,0.07,70,1263,299,0
Philip Billing,26,2192,27,1,0,0,0,7,0,0.08,0,0.08,1096,0.29,81,0,185,2
Philip Foden,22,327,13,1,0,0,0,0,0,0.28,0,0.28,327,0,25,0,67,0
Philippe Sandler,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Pierre-Emerick Aubameyang,33,2731,36,13,5,4,1,0,0,0.89,0.16,0.73,124,0,76,546,3,2
Pierre-Emile Højbjerg,27,2764,31,2,3,0,0,10,2,0.23,0.1,0.13,691,0.36,89,921,136,2
Rachid Ghezzal,30,738,19,1,0,0,0,3,0,0.12,0,0.12,738,0.37,39,0,140,0
Rafael Euclides Soares Camacho,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Raheem Sterling,27,2777,34,12,10,0,0,3,0,0.88,0.32,0.55,163,0.1,82,278,12,2
Rajiv van La Parra,31,407,5,0,0,0,0,0,0,0,0,0,0,0,81,0,335,0
Ramadan Sobhi,25,75,4,0,0,0,0,0,0,0,0,0,0,0,19,0,-1,0
Raúl Alonso Jiménez Rodríguez,31,3124,38,8,7,2,0,4,0,0.58,0.2,0.37,240,0.12,82,446,42,2
Rhys Healey,27,49,3,0,0,0,0,0,0,0,0,0,0,0,16,0,-1,0
Ricardo Domingos Barbosa Pereira,28,3125,35,2,6,0,0,7,0,0.23,0.17,0.06,1563,0.2,89,521,214,1
Richarlison de Andrade,25,2679,35,7,1,0,0,6,1,0.47,0.03,0.44,206,0.24,77,2679,28,2
Riyad Mahrez,31,1339,27,1,4,0,1,0,0,0.74,0.27,0.47,191,0,50,335,22,1
Rob Holding,26,807,10,0,0,0,0,1,0,0,0,0,0,0.11,81,0,389,0
Robbie Brady,30,715,16,0,1,0,0,4,1,0.13,0.13,0,0,0.63,45,715,268,0
Robert Kenedy Nunes do Nascimento,26,1344,25,0,1,0,1,1,0,0.13,0.07,0.07,1344,0.07,54,1344,193,1
Robert Snodgrass,35,2222,33,1,5,0,0,10,0,0.28,0.2,0.08,1111,0.41,67,444,188,1
Roberto Firmino,30,2620,34,7,6,1,0,0,0,0.62,0.21,0.41,218,0,77,437,32,2
Roberto Maximiliano Pereyra,31,2825,33,5,1,0,0,3,0,0.22,0.03,0.19,471,0.1,86,2825,97,2
Romain Saïss,32,1144,19,1,0,0,0,7,0,0.16,0,0.16,572,0.55,60,0,115,1
Romelu Lukaku,29,2130,32,4,0,0,0,4,0,0.51,0,0.51,178,0.17,67,0,16,2
Rondon,32,2609,32,6,7,0,0,1,0,0.62,0.24,0.38,237,0.03,82,373,40,2
Ross Barkley,28,1241,27,1,5,0,0,1,0,0.58,0.36,0.22,414,0.07,46,248,84,1
Rúben Diogo Da Silva Neves,25,3009,35,3,3,2,0,8,0,0.21,0.09,0.12,752,0.24,86,1003,145,2
Rúben Gonçalo Silva Nascimento Vinagre,23,703,17,0,0,0,0,1,0,0,0,0,0,0.13,41,0,406,0
Ruben Loftus-Cheek,26,983,24,3,2,0,0,0,0,0.73,0.18,0.55,164,0,41,492,11,2
Rui Pedro dos Santos Patrício,34,3330,37,0,0,0,0,0,0,0,0,0,0,0,90,0,405,0
Ryan Bennett,32,3060,34,1,0,0,0,12,0,0.03,0,0.03,3060,0.35,90,0,256,1
Ryan Bertrand,33,2160,24,1,0,0,0,8,0,0.04,0,0.04,2160,0.33,90,0,245,0
Ryan Fraser,28,3173,38,5,14,0,0,2,0,0.6,0.4,0.2,453,0.06,84,227,95,2
Ryan Fredericks,29,1085,15,1,0,0,0,5,0,0.08,0,0.08,1085,0.41,72,0,189,0
Ryan Giles,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Ryan Guno Babel,35,1260,16,3,3,0,0,3,0,0.57,0.21,0.36,252,0.21,79,420,47,2
Ryan Schofield,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Ryan Sessegnon,22,2298,35,1,6,0,0,0,0,0.31,0.23,0.08,1149,0,66,383,182,1
Sadio Mané,30,3086,36,18,1,0,0,2,0,0.67,0.03,0.64,140,0.06,86,3086,4,2
Sam Gallagher,27,30,4,0,0,0,0,0,0,0,0,0,0,0,8,0,-1,0
Sam Surridge,24,11,2,0,0,0,0,0,0,0,0,0,0,0,6,0,-1,0
Sam Vokes,32,913,20,2,0,0,0,0,0,0.3,0,0.3,304,0,46,0,64,2
Sam Woods,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Samir Nasri,35,246,5,0,2,0,0,0,0,0.73,0.73,0,0,0,49,123,-1,0
Sandro Ramirez,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Scott Dann,35,660,10,0,1,0,0,1,0,0.14,0.14,0,0,0.14,66,660,276,0
Scott McTominay,25,861,16,0,0,0,0,1,0,0.21,0,0.21,431,0.1,54,0,91,1
Sead Kolašinac,29,1891,24,0,5,0,0,5,0,0.24,0.24,0,0,0.24,79,378,285,0
Séamus Coleman,33,2560,29,2,2,0,0,1,0,0.14,0.07,0.07,1280,0.04,88,1280,197,1
Sean Longstaff,24,688,9,1,0,0,0,2,0,0.13,0,0.13,688,0.26,76,0,135,0
Sean Morrison,31,3040,34,0,3,0,0,6,0,0.12,0.09,0.03,3040,0.18,89,1013,255,1
Sebastian Prödl,35,13,1,0,0,0,0,0,0,0,0,0,0,0,13,0,-1,0
Serge Aurier,29,564,8,0,2,0,0,1,0,0.32,0.32,0,0,0.16,71,282,351,0
Sergio Aguero,34,2480,33,15,8,2,0,3,0,1.05,0.29,0.76,118,0.11,75,310,1,2
Sergio Germán Romero,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Sergio Rico,29,2610,29,0,0,0,0,1,0,0,0,0,0,0.03,90,0,320,0
Shane Duffy,30,3088,35,2,1,0,0,5,1,0.17,0.03,0.15,618,0.17,88,3088,123,2
Shane Long,35,1269,26,3,1,0,0,3,0,0.43,0.07,0.35,254,0.21,49,1269,51,2
Shinji Okazaki,36,269,21,0,1,0,0,0,0,0.33,0.33,0,0,0,13,269,-1,0
Shkodran Mustafi,30,2617,31,0,0,0,0,9,0,0.07,0,0.07,1309,0.31,84,0,201,1
Simon Francis,37,1226,17,0,2,0,0,1,0,0.15,0.15,0,0,0.07,72,613,360,0
Simon Mignolet,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Sokratis Papastathopoulos,34,2199,25,0,2,0,0,12,0,0.12,0.08,0.04,2199,0.49,88,1100,234,0
Solomon March,28,2473,35,1,5,0,0,1,0,0.22,0.18,0.04,2473,0.04,71,495,242,0
Souleymane Bamba,37,2475,28,2,1,0,0,7,0,0.18,0.04,0.15,619,0.25,88,2475,118,2
Stefan Marius Johansen,31,412,12,0,0,0,0,4,0,0,0,0,0,0.87,34,0,318,0
Stefano Okaka,33,22,2,0,0,0,0,1,0,0,0,0,0,4.09,11,0,-1,0
Stephan Lichtsteiner,38,940,14,0,0,0,0,3,0,0,0,0,0,0.29,67,0,387,0
Stephen Ward,37,230,3,0,0,0,0,1,0,0,0,0,0,0.39,77,0,-1,0
Steve Cook,31,2787,31,0,1,0,0,3,0,0.06,0.03,0.03,2787,0.1,90,2787,254,1
Steve Mounié,27,1777,31,2,3,0,0,2,1,0.25,0.15,0.1,889,0.15,57,592,168,1
Steven Davis,37,96,3,0,1,0,0,0,0,0.94,0.94,0,0,0,32,96,-1,0
Steven Defour,34,452,6,0,0,0,0,0,0,0,0,0,0,0,75,0,264,0
Stuart Armstrong,30,1432,29,1,2,0,0,2,0,0.31,0.13,0.19,477,0.13,49,716,98,1
Sullay Kaikai,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Sung-Yeung Ki,33,1302,18,0,1,0,0,2,0,0.07,0.07,0,0,0.14,72,1302,349,0
Tahith Chong,22,36,2,0,0,0,0,0,0,0,0,0,0,0,18,0,-1,0
Terence Kongolo,28,2722,32,0,1,0,0,4,0,0.07,0.03,0.03,2722,0.13,85,2722,261,1
Theo Walcott,33,2122,37,3,2,0,0,1,0,0.3,0.08,0.21,424,0.04,57,1061,90,2
Tim Ream,34,2051,26,0,0,0,0,1,0,0,0,0,0,0.04,79,0,265,0
Timothy Eyoma,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Timothy Fosu-Mensah,24,795,12,0,0,0,0,3,0,0,0,0,0,0.34,66,0,319,0
Toby Alderweireld,33,2924,34,0,0,0,0,3,0,0,0,0,0,0.09,86,0,356,0
Tom Cairney,31,2198,31,1,1,0,0,0,0,0.08,0.04,0.04,2198,0,71,2198,238,1
Tom Cleverley,33,470,13,0,0,0,0,2,0,0.19,0,0.19,470,0.38,36,0,99,0
Tom Davies,24,975,16,0,0,0,0,3,0,0,0,0,0,0.28,61,0,416,0
Tom Heaton,36,1710,19,0,0,0,0,3,0,0,0,0,0,0.16,90,0,382,0
Tom Smith,30,1141,15,0,0,0,0,3,1,0,0,0,0,0.32,76,0,334,0
Trent Alexander-Arnold,23,2467,29,0,12,0,0,3,0,0.47,0.44,0.04,2467,0.11,85,206,233,0
Troy Deeney,34,2548,32,3,5,1,0,5,1,0.49,0.18,0.32,283,0.21,80,510,57,2
Tyias Browning,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Tyreke Johnson,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Tyrone Mings,29,141,5,0,0,0,0,0,0,0,0,0,0,0,28,0,-1,0
Vicente Guaita,35,1755,20,0,0,0,0,2,0,0,0,0,0,0.1,88,0,325,0
Vicente Iborra De La Fuente,34,226,8,0,0,0,0,0,0,0,0,0,0,0,28,0,-1,0
Víctor Camarasa,28,2579,32,4,4,1,0,6,0,0.31,0.14,0.17,516,0.21,81,645,111,2
Victor Moses,31,26,2,0,0,0,0,0,0,0,0,0,0,0,13,0,-1,0
Victor Nilsson Lindelöf,28,2602,30,1,1,0,0,1,0,0.07,0.03,0.03,2602,0.03,87,2602,263,0
Victor Wanyama,31,509,13,1,0,0,0,2,0,0.18,0,0.18,509,0.35,39,0,106,0
Viktor Gyökeres,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Vincent Janssen,28,36,3,0,0,0,0,0,0,0,0,0,0,0,12,0,-1,0
Vincent Kompany,36,1223,17,1,0,0,0,6,0,0.07,0,0.07,1223,0.44,72,0,194,0
Virgil van Dijk,31,3385,38,2,2,0,0,1,0,0.16,0.05,0.11,846,0.03,89,1693,152,1
Wayne Hennessey,35,1575,18,0,0,0,0,0,0,0,0,0,0,0,88,0,321,0
Wes Morgan,38,1926,22,1,0,0,0,5,2,0.14,0,0.14,642,0.23,88,0,125,1
Wesley Hoedt,28,1170,13,0,0,0,0,2,0,0,0,0,0,0.15,90,0,374,0
Wilfredo Daniel Caballero,40,180,2,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Wilfried Zaha,29,3041,34,1,5,0,0,10,1,0.44,0.15,0.3,304,0.3,89,608,63,2
Will Hughes,27,2436,32,1,4,0,0,5,0,0.22,0.15,0.07,1218,0.18,76,609,199,1
Will Norris,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Willian,34,2108,32,2,6,0,0,2,0,0.38,0.26,0.13,703,0.09,66,351,132,1
Willy Boly,31,3169,36,2,0,0,0,3,1,0.11,0,0.11,792,0.11,88,0,148,2
Xherdan Shaqiri,30,1058,24,5,3,0,0,2,0,0.77,0.26,0.51,176,0.17,44,353,15,2
Yann Valery,23,1715,23,1,1,0,0,5,1,0.16,0.05,0.1,858,0.26,75,1715,162,1
Yerry Fernando Mina González,27,890,13,0,0,0,0,3,0,0.1,0,0.1,890,0.3,68,0,161,1
Yoshinori Muto,30,516,17,0,0,0,0,1,0,0.17,0,0.17,516,0.17,30,0,113,1
Youri Tielemans,25,1092,13,2,4,0,0,2,0,0.58,0.33,0.25,364,0.16,84,273,80,2
Yves Bissouma,26,1769,28,0,0,0,0,5,0,0,0,0,0,0.25,63,0,402,0
Zechariah Medley,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Zeze Steven Sessegnon,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Łukasz Fabiański,37,3420,38,0,0,0,0,0,0,0,0,0,0,0,90,0,391,0
